Wavelength,QLS-L表壤模拟物
1577,0.109128021
1578,0.10913986
1579,0.109127611
1580,0.109082408
1581,0.109059855
1582,0.109035946
1583,0.109031953
1584,0.109047748
1585,0.109043971
1586,0.109042563
1587,0.109047592
1588,0.109038681
1589,0.109045543
1590,0.109084807
1591,0.109085068
1592,0.109063976
1593,0.109051436
1594,0.109028131
1595,0.109004192
1596,0.108987719
1597,0.108961888
1598,0.108910806
1599,0.108890161
1600,0.108887434
1601,0.108878128
1602,0.108884268
1603,0.108877726
1604,0.108862743
1605,0.108845532
1606,0.108819693
1607,0.108802684
1608,0.108779535
1609,0.108771108
1610,0.108775824
1611,0.108786412
1612,0.108823344
1613,0.108826026
1614,0.108810514
1615,0.108799942
1616,0.108760566
1617,0.108750865
1618,0.108773306
1619,0.108786844
1620,0.10881196
1621,0.108822383
1622,0.10883531
1623,0.108824059
1624,0.10877753
1625,0.108753391
1626,0.108728729
1627,0.10870298
1628,0.108687744
1629,0.108669981
1630,0.108645208
1631,0.108621344
1632,0.108588822
1633,0.10857632
1634,0.108589314
1635,0.108580671
1636,0.108583897
1637,0.108573824
1638,0.108516052
1639,0.108496986
1640,0.108509965
1641,0.108510949
1642,0.108545102
1643,0.108547412
1644,0.108496137
1645,0.108483516
1646,0.108487055
1647,0.108471952
1648,0.108469367
1649,0.108469971
1650,0.108430877
1651,0.108410053
1652,0.108410172
1653,0.108404256
1654,0.108405821
1655,0.108424507
1656,0.108436905
1657,0.108435303
1658,0.10843198
1659,0.108421311
1660,0.108380809
1661,0.108377218
1662,0.108417027
1663,0.108408213
1664,0.108402826
1665,0.10842406
1666,0.108384565
1667,0.108344957
1668,0.108353823
1669,0.108334869
1670,0.108316854
1671,0.108329535
1672,0.108324334
1673,0.108304285
1674,0.108281687
1675,0.108255804
1676,0.108247474
1677,0.108222134
1678,0.108193003
1679,0.108202711
1680,0.108170338
1681,0.108169608
1682,0.108193234
1683,0.108167991
1684,0.108167574
1685,0.108139813
1686,0.108075395
1687,0.108044058
1688,0.108025603
1689,0.108023994
1690,0.108025745
1691,0.108020552
1692,0.108005643
1693,0.107993975
1694,0.108035624
1695,0.10805124
1696,0.108047053
1697,0.108038381
1698,0.107984759
1699,0.107957758
1700,0.107945308
1701,0.107944883
